state,candidate,percent_chance,date,url
alabama,Biden,69,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/alabama
alabama,Sanders,13,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/alabama
alabama,Warren,10,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/alabama
alabama,Buttigieg,7,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/alabama
alabama,Bloomberg,0.8,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/alabama
alabama,Klobuchar,0.5,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/alabama
alabama,Steyer,0.2,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/alabama
alabama,Yang,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/alabama
alabama,Bennet,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/alabama
alabama,Delaney,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/alabama
alabama,Gabbard,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/alabama
alabama,Patrick,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/alabama
alaska,Biden,42,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/alaska
alaska,Sanders,27,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/alaska
alaska,Warren,16,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/alaska
alaska,Buttigieg,12,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/alaska
alaska,Klobuchar,0.6,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/alaska
alaska,Bloomberg,0.6,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/alaska
alaska,Steyer,0.3,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/alaska
alaska,Yang,0.2,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/alaska
alaska,Gabbard,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/alaska
alaska,Bennet,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/alaska
alaska,Delaney,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/alaska
alaska,Patrick,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/alaska
arizona,Biden,44,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/arizona
arizona,Sanders,26,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/arizona
arizona,Warren,18,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/arizona
arizona,Buttigieg,12,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/arizona
arizona,Klobuchar,0.5,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/arizona
arizona,Bloomberg,0.4,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/arizona
arizona,Steyer,0.2,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/arizona
arizona,Yang,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/arizona
arizona,Bennet,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/arizona
arizona,Patrick,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/arizona
arizona,Gabbard,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/arizona
arizona,Delaney,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/arizona
arkansas,Biden,56,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/arkansas
arkansas,Sanders,22,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/arkansas
arkansas,Warren,13,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/arkansas
arkansas,Buttigieg,8,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/arkansas
arkansas,Bloomberg,0.6,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/arkansas
arkansas,Klobuchar,0.5,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/arkansas
arkansas,Steyer,0.2,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/arkansas
arkansas,Yang,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/arkansas
arkansas,Delaney,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/arkansas
arkansas,Patrick,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/arkansas
arkansas,Gabbard,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/arkansas
arkansas,Bennet,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/arkansas
california,Biden,37,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/california
california,Sanders,30,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/california
california,Warren,21,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/california
california,Buttigieg,10,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/california
california,Klobuchar,0.5,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/california
california,Bloomberg,0.2,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/california
california,Steyer,0.2,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/california
california,Yang,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/california
california,Gabbard,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/california
california,Delaney,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/california
california,Patrick,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/california
california,Bennet,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/california
colorado,Biden,36,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/colorado
colorado,Sanders,32,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/colorado
colorado,Warren,20,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/colorado
colorado,Buttigieg,11,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/colorado
colorado,Klobuchar,0.4,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/colorado
colorado,Bloomberg,0.3,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/colorado
colorado,Steyer,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/colorado
colorado,Yang,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/colorado
colorado,Patrick,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/colorado
colorado,Gabbard,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/colorado
colorado,Bennet,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/colorado
colorado,Delaney,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/colorado
connecticut,Biden,47,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/connecticut
connecticut,Sanders,23,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/connecticut
connecticut,Warren,16,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/connecticut
connecticut,Buttigieg,11,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/connecticut
connecticut,Klobuchar,0.8,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/connecticut
connecticut,Bloomberg,0.6,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/connecticut
connecticut,Steyer,0.2,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/connecticut
connecticut,Yang,0.2,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/connecticut
connecticut,Gabbard,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/connecticut
connecticut,Bennet,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/connecticut
connecticut,Delaney,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/connecticut
connecticut,Patrick,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/connecticut
delaware,Biden,61,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/delaware
delaware,Sanders,17,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/delaware
delaware,Warren,11,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/delaware
delaware,Buttigieg,9,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/delaware
delaware,Klobuchar,0.7,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/delaware
delaware,Bloomberg,0.4,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/delaware
delaware,Steyer,0.2,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/delaware
delaware,Delaney,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/delaware
delaware,Yang,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/delaware
delaware,Gabbard,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/delaware
delaware,Bennet,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/delaware
delaware,Patrick,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/delaware
florida,Biden,55,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/florida
florida,Sanders,21,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/florida
florida,Warren,13,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/florida
florida,Buttigieg,10,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/florida
florida,Klobuchar,0.5,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/florida
florida,Bloomberg,0.4,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/florida
florida,Steyer,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/florida
florida,Yang,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/florida
